id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
BTC,BTC,BTC,Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/btc.svg,active,20291.39490153,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,19197562,21000000,389545311689,0.3723,473,94993,12500,2011-08-18T00:00:00Z,2011-08-18T00:00:00Z,2017-01-06T00:00:00Z,1,0,67599.27869467,2021-11-08T00:00:00Z,56068082543.33,115.44215594,0.0057,-10858772560.24,-0.1622,2237009353.29,0.0058
ETH,ETH,ETH,Ethereum,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eth.svg,active,1543.80620404,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,122373863,,188921529682,0.1806,566,97596,110150,2015-08-07T00:00:00Z,2015-08-07T00:00:00Z,2018-08-29T00:00:00Z,2,0,4811.45325919,2021-11-08T00:00:00Z,22823992342.50,28.55748048,0.0188,-10248383865.51,-0.3099,3494689217.53,0.0188,ETH
USDT,USDT,USDT,Tether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdt.svg,active,1.00065878,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,69350692564,,69396379759,0.0663,501,90601,33591,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,2018-08-29T00:00:00Z,3,0,1.09138464,2017-12-23T00:00:00Z,97120224250.72,0.00034760937,0.0003,-10084034933.26,-0.0941,-45155970.64,-0.0007,ETH
BNB,BNB,BNB,Binance Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BNB.png,active,331.33773569,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,163276975,163276975,54099823064,0.0517,311,26734,1190147,2017-07-14T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,4,0,676.74035937,2021-05-03T00:00:00Z,2908773054.93,12.38079724,0.0388,352713850.37,0.1380,2021499117.16,0.0388,BNB
USDC,USDC,USDC,USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdc.svg,active,1.00145799,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,42133828690,,42195259222,0.0403,343,9969,15102,2015-11-18T00:00:00Z,2015-11-18T00:00:00Z,2018-10-26T00:00:00Z,5,0,1.03011721,2019-05-02T00:00:00Z,4112579949.21,0.00050747502,0.0005,-1325623599.43,-0.2438,-381776086.95,-0.0090,ETH
XRP,XRP,XRP,XRP,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XRP.svg,active,0.45780296,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,50085407159,100000000000,22929247502,0.0219,318,3134,129,2013-05-09T00:00:00Z,2013-05-09T00:00:00Z,2018-08-29T00:00:00Z,6,0,2.75924322,2018-01-07T00:00:00Z,1828732802.90,0.0034648534,0.0076,-123172666.57,-0.0631,173538592.78,0.0076,
BUSD,BUSD,BUSD,Binance USD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BUSD.png,active,1.00181277,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,22378427250,22378427250,22418994302,0.0214,201,11847,35822,2017-07-09T00:00:00Z,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,7,0,1.01272600,2020-03-12T00:00:00Z,10408306748.86,0.0012236771,0.0012,-2920844589.56,-0.2191,747564767.85,0.0345,ETH
DOGE,DOGE,DOGE,Dogecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/doge.svg,active,0.12971497,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,136750886384,,17738636732,0.0170,279,3354,1040,2014-01-21T00:00:00Z,2014-01-21T00:00:00Z,2018-09-12T00:00:00Z,8,0,0.68872368,2021-05-07T00:00:00Z,6621299500.19,0.0010622258,0.0083,-4722930935.34,-0.4163,146898062.61,0.0084,
ADA,ADA,ADA,Cardano,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ada.svg,active,0.39445913,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,33722655000,45000000000,13302209046,0.0127,196,1164,721,2017-10-01T00:00:00Z,2017-11-22T00:00:00Z,2018-08-29T00:00:00Z,9,0,2.96717030,2021-09-03T00:00:00Z,954486584.65,0.0089803721,0.0233,-261716690.72,-0.2152,303035323.23,0.0233,
SOL,SOL,SOL,Solana,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/SOL2.jpg,active,31.27317061,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,359465568,,11241628048,0.0107,154,5509,3233,2019-06-07T00:00:00Z,2020-04-10T00:00:00Z,2020-04-07T00:00:00Z,10,0,259.01309310,2021-11-06T00:00:00Z,1777240006.89,0.72815896,0.0238,-173497836.80,-0.0889,265848252.33,0.0242,SOL
MATIC,MATIC,MATIC,Polygon,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MATIC.jpg,active,0.95933568,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,8858740690,,8498506028,0.0081,247,4636,29063,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,11,0,2.88851811,2021-12-26T00:00:00Z,2087816284.70,0.11552983,0.1369,1029206474.61,0.9722,1023448781.66,0.1369,MATIC
DOT,DOT,DOT,Polkadot,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DOT.svg,active,6.48403572,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,1167765983,1248731588,7571836341,0.0072,175,685,3,2018-12-12T00:00:00Z,2019-08-27T00:00:00Z,2019-08-28T00:00:00Z,12,0,366.12741095,2020-08-12T00:00:00Z,468321823.86,0.24374445,0.0391,-82194755.15,-0.1493,285654639.21,0.0392,
STETH,STETH,STETH,Liquid Staked Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/STETH.png,active,1542.53285828,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,4673817,4673817,7209516238,0.0069,17,37,0,2020-12-19T00:00:00Z,2020-12-19T00:00:00Z,2021-01-08T00:00:00Z,13,0,4776.69133482,2021-11-08T00:00:00Z,26094363.74,29.01950244,0.0192,4319387.87,0.1984,145003420.59,0.0205,ETH,2020-12-28T21:21:34.943723Z
SHIB,SHIB,SHIB,Shiba Inu,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SHIB.png,active,0.000012007170,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,561145684171464,999991079353073,6737771369,0.0064,162,435,54,2020-07-31T00:00:00Z,2020-07-31T00:00:00Z,2021-02-01T00:00:00Z,14,0,0.000079591221,2021-10-27T00:00:00Z,462651037.65,0.00000015219825,0.0128,-324729910.09,-0.4124,85632224.54,0.0129,ETH,
